,District,Pincode,No of Registered User,Year,state,Quater
304,ballari,0,226336,2018,karnataka,Q4
305,bengaluru rural,0,209778,2018,karnataka,Q4
306,tumakuru,0,203805,2018,karnataka,Q4
307,dakshina kannada,0,202453,2018,karnataka,Q4
308,kalaburagi,0,186668,2018,karnataka,Q4
309,vijayapura,0,160346,2018,karnataka,Q4
310,null,560068,201605,2018,karnataka,Q4
311,null,560037,137280,2018,karnataka,Q4
312,null,560076,132105,2018,karnataka,Q4
313,null,560078,130681,2018,karnataka,Q4
314,null,560100,124803,2018,karnataka,Q4
315,null,560043,103571,2018,karnataka,Q4
316,null,560058,98214,2018,karnataka,Q4
317,null,560091,93071,2018,karnataka,Q4
318,null,560064,91185,2018,karnataka,Q4
319,null,560066,91000,2018,karnataka,Q4
320,bengaluru urban,0,5003207,2019,karnataka,Q1
321,mysuru,0,432208,2019,karnataka,Q1
322,belagavi,0,412265,2019,karnataka,Q1
323,dharwad,0,287568,2019,karnataka,Q1
324,ballari,0,281648,2019,karnataka,Q1
325,bengaluru rural,0,267147,2019,karnataka,Q1
326,tumakuru,0,258398,2019,karnataka,Q1
327,dakshina kannada,0,254135,2019,karnataka,Q1
328,kalaburagi,0,230020,2019,karnataka,Q1
329,kolar,0,201909,2019,karnataka,Q1
330,null,560068,237280,2019,karnataka,Q1
331,null,560078,157977,2019,karnataka,Q1
332,null,560076,157367,2019,karnataka,Q1
333,null,560037,156716,2019,karnataka,Q1
334,null,560100,145990,2019,karnataka,Q1
335,null,560043,126199,2019,karnataka,Q1
336,null,560058,120584,2019,karnataka,Q1
337,null,560091,115911,2019,karnataka,Q1
338,null,560064,110644,2019,karnataka,Q1
339,null,560079,109287,2019,karnataka,Q1
340,bengaluru urban,0,5694165,2019,karnataka,Q2
341,mysuru,0,517839,2019,karnataka,Q2
342,belagavi,0,492435,2019,karnataka,Q2
343,dharwad,0,342439,2019,karnataka,Q2
344,ballari,0,330704,2019,karnataka,Q2
345,bengaluru rural,0,314610,2019,karnataka,Q2
346,tumakuru,0,312592,2019,karnataka,Q2
347,dakshina kannada,0,306684,2019,karnataka,Q2
348,kalaburagi,0,267907,2019,karnataka,Q2
349,kolar,0,240400,2019,karnataka,Q2
350,null,560068,263531,2019,karnataka,Q2
351,null,560078,178837,2019,karnataka,Q2
352,null,560076,176066,2019,karnataka,Q2
353,null,560037,170073,2019,karnataka,Q2
354,null,560100,161939,2019,karnataka,Q2
355,null,560043,143778,2019,karnataka,Q2
356,null,560058,138060,2019,karnataka,Q2
357,null,560091,134585,2019,karnataka,Q2
358,null,560064,126663,2019,karnataka,Q2
359,null,560079,125493,2019,karnataka,Q2
360,bengaluru urban,0,6383771,2019,karnataka,Q3
361,mysuru,0,601068,2019,karnataka,Q3
362,belagavi,0,568340,2019,karnataka,Q3
363,dharwad,0,397243,2019,karnataka,Q3
364,ballari,0,376264,2019,karnataka,Q3
365,tumakuru,0,366543,2019,karnataka,Q3
366,dakshina kannada,0,363240,2019,karnataka,Q3
367,bengaluru rural,0,361924,2019,karnataka,Q3
368,kalaburagi,0,306756,2019,karnataka,Q3
369,kolar,0,277877,2019,karnataka,Q3
370,null,560068,289417,2019,karnataka,Q3
371,null,560078,200025,2019,karnataka,Q3
372,null,560076,194819,2019,karnataka,Q3
373,null,560037,182526,2019,karnataka,Q3
374,null,560100,177026,2019,karnataka,Q3
375,null,560043,161899,2019,karnataka,Q3
376,null,560058,155618,2019,karnataka,Q3
377,null,560091,152819,2019,karnataka,Q3
378,null,560064,143378,2019,karnataka,Q3
379,null,560079,141222,2019,karnataka,Q3
380,bengaluru urban,0,7016836,2019,karnataka,Q4
381,mysuru,0,686169,2019,karnataka,Q4
382,belagavi,0,656749,2019,karnataka,Q4
383,dharwad,0,452178,2019,karnataka,Q4
384,ballari,0,429391,2019,karnataka,Q4
385,tumakuru,0,428605,2019,karnataka,Q4
386,dakshina kannada,0,423031,2019,karnataka,Q4
387,bengaluru rural,0,411896,2019,karnataka,Q4
388,kalaburagi,0,355228,2019,karnataka,Q4
389,kolar,0,321279,2019,karnataka,Q4
390,null,560068,313673,2019,karnataka,Q4
391,null,560078,218317,2019,karnataka,Q4
392,null,560076,211683,2019,karnataka,Q4
393,null,560037,193752,2019,karnataka,Q4
394,null,560100,191154,2019,karnataka,Q4
395,null,560043,177784,2019,karnataka,Q4
396,null,560058,172754,2019,karnataka,Q4
397,null,560091,170454,2019,karnataka,Q4
398,null,560064,157979,2019,karnataka,Q4
399,null,560079,155676,2019,karnataka,Q4
400,bengaluru urban,0,7564577,2020,karnataka,Q1
401,mysuru,0,764697,2020,karnataka,Q1
402,belagavi,0,746925,2020,karnataka,Q1
403,dharwad,0,502446,2020,karnataka,Q1
404,tumakuru,0,488995,2020,karnataka,Q1
405,dakshina kannada,0,481992,2020,karnataka,Q1
406,ballari,0,481004,2020,karnataka,Q1
407,bengaluru rural,0,455608,2020,karnataka,Q1
408,kalaburagi,0,402676,2020,karnataka,Q1
409,kolar,0,361750,2020,karnataka,Q1
410,null,560068,334481,2020,karnataka,Q1
411,null,560078,234102,2020,karnataka,Q1
412,null,560076,225754,2020,karnataka,Q1
413,null,560037,203140,2020,karnataka,Q1
414,null,560100,202522,2020,karnataka,Q1
415,null,560043,192017,2020,karnataka,Q1
416,null,560058,187340,2020,karnataka,Q1
417,null,560091,185405,2020,karnataka,Q1
418,null,560064,170524,2020,karnataka,Q1
419,null,560079,168340,2020,karnataka,Q1
420,bengaluru urban,0,8028070,2020,karnataka,Q2
421,belagavi,0,849149,2020,karnataka,Q2
422,mysuru,0,837003,2020,karnataka,Q2
423,dharwad,0,554235,2020,karnataka,Q2
424,tumakuru,0,552123,2020,karnataka,Q2
425,dakshina kannada,0,543603,2020,karnataka,Q2
426,ballari,0,537204,2020,karnataka,Q2
427,bengaluru rural,0,496292,2020,karnataka,Q2
428,kalaburagi,0,455786,2020,karnataka,Q2
429,vijayapura,0,407483,2020,karnataka,Q2
430,null,560068,351484,2020,karnataka,Q2
431,null,560078,247869,2020,karnataka,Q2
432,null,560076,237431,2020,karnataka,Q2
433,null,560100,211500,2020,karnataka,Q2
434,null,560037,210439,2020,karnataka,Q2
435,null,560043,203567,2020,karnataka,Q2
436,null,560058,199801,2020,karnataka,Q2
437,null,560091,198570,2020,karnataka,Q2
438,null,560064,181350,2020,karnataka,Q2
439,null,560079,179770,2020,karnataka,Q2
440,bengaluru urban,0,8611452,2020,karnataka,Q3
441,belagavi,0,951629,2020,karnataka,Q3
442,mysuru,0,923296,2020,karnataka,Q3
