,District,Type,Count,Amount,Year,state,Quater
244,dakshina kannada district,TOTAL,3129205,4761473404.878738,2019,karnataka,Q3
245,hassan district,TOTAL,941322,1927647326.5696983,2019,karnataka,Q3
246,dharwad district,TOTAL,3529480,4405498989.367172,2019,karnataka,Q3
247,shivamogga district,TOTAL,1158823,1817498335.3695498,2019,karnataka,Q3
248,udupi district,TOTAL,707717,912774613.24923,2019,karnataka,Q3
249,gadag district,TOTAL,468612,756916365.9954008,2019,karnataka,Q3
250,mysuru district,TOTAL,6009700,8812951678.18542,2019,karnataka,Q4
251,chitradurga district,TOTAL,1067103,2002316772.868118,2019,karnataka,Q4
252,kalaburagi district,TOTAL,1798526,3564569593.554303,2019,karnataka,Q4
253,ramanagara district,TOTAL,1984361,3325299266.7780094,2019,karnataka,Q4
254,mandya district,TOTAL,1649217,3229657460.81484,2019,karnataka,Q4
255,kodagu district,TOTAL,431268,720368458.7957824,2019,karnataka,Q4
256,chikkamagaluru district,TOTAL,808717,1380891787.5321822,2019,karnataka,Q4
257,haveri district,TOTAL,646052,1195895752.7241912,2019,karnataka,Q4
258,ballari district,TOTAL,3167702,5649113297.438309,2019,karnataka,Q4
259,belagavi district,TOTAL,3807962,5664222342.192614,2019,karnataka,Q4
260,kolar district,TOTAL,2360285,4256924114.160181,2019,karnataka,Q4
261,uttara kannada district,TOTAL,922743,1403249288.833963,2019,karnataka,Q4
262,tumakuru district,TOTAL,2873750,4751005895.145698,2019,karnataka,Q4
263,yadgir district,TOTAL,469575,1170814340.549012,2019,karnataka,Q4
264,bengaluru urban district,TOTAL,180458808,199966708446.8142,2019,karnataka,Q4
265,chikkaballapura district,TOTAL,1570925,3159592090.2319264,2019,karnataka,Q4
266,davanagere district,TOTAL,2063312,3345622513.6539807,2019,karnataka,Q4
267,bagalkote district,TOTAL,1294034,2292815308.7554636,2019,karnataka,Q4
268,vijayapura district,TOTAL,1705336,3251735280.3451853,2019,karnataka,Q4
269,koppal district,TOTAL,828400,1661869404.8229644,2019,karnataka,Q4
270,bidar district,TOTAL,1354884,2910548028.0352697,2019,karnataka,Q4
271,bengaluru rural district,TOTAL,4458453,6512032486.840271,2019,karnataka,Q4
272,raichur district,TOTAL,1490992,3050353281.999224,2019,karnataka,Q4
273,chamarajanagara district,TOTAL,410150,784422903.3923473,2019,karnataka,Q4
274,dakshina kannada district,TOTAL,4307358,6266562292.312677,2019,karnataka,Q4
275,hassan district,TOTAL,1386630,2890517586.098419,2019,karnataka,Q4
276,dharwad district,TOTAL,4934246,6425417517.094139,2019,karnataka,Q4
277,shivamogga district,TOTAL,1782120,2820880194.725874,2019,karnataka,Q4
278,udupi district,TOTAL,1073447,1392442535.9198146,2019,karnataka,Q4
279,gadag district,TOTAL,680196,1188343526.612237,2019,karnataka,Q4
280,mysuru district,TOTAL,8069105,13036685203.223095,2020,karnataka,Q1
281,chitradurga district,TOTAL,1429747,2626154899.977052,2020,karnataka,Q1
282,kalaburagi district,TOTAL,2328594,4631840960.1782255,2020,karnataka,Q1
283,ramanagara district,TOTAL,2539779,4245435911.3876715,2020,karnataka,Q1
284,mandya district,TOTAL,2204678,4312506529.5597,2020,karnataka,Q1
285,kodagu district,TOTAL,506914,892550887.3595694,2020,karnataka,Q1
286,chikkamagaluru district,TOTAL,959731,1660570854.4509535,2020,karnataka,Q1
287,haveri district,TOTAL,877565,1597337190.2603629,2020,karnataka,Q1
288,ballari district,TOTAL,3903343,7053379784.876897,2020,karnataka,Q1
289,belagavi district,TOTAL,4316092,6363752952.026527,2020,karnataka,Q1
290,kolar district,TOTAL,3093003,5550612726.131468,2020,karnataka,Q1
291,uttara kannada district,TOTAL,1040619,1583481410.9743357,2020,karnataka,Q1
292,tumakuru district,TOTAL,3872833,6659223682.826369,2020,karnataka,Q1
293,yadgir district,TOTAL,652496,1622925509.814738,2020,karnataka,Q1
294,bengaluru urban district,TOTAL,200174352,231970686013.7528,2020,karnataka,Q1
295,chikkaballapura district,TOTAL,2047103,4013876477.4404044,2020,karnataka,Q1
296,davanagere district,TOTAL,2704786,4892688445.769339,2020,karnataka,Q1
297,bagalkote district,TOTAL,1612647,2848817825.0858374,2020,karnataka,Q1
298,vijayapura district,TOTAL,2114247,3966541860.6325555,2020,karnataka,Q1
